Veicolo;Targa;Data (UTC+01:00);Tipo;Partenza;Poi Partenza;Ora (UTC+01:00);Arrivo;Poi Arrivo;Ora (UTC+01:00);km;Guida (minuti);Vel. media (km/h);Sosta motore spento (minuti);Totale sosta acceso (minuti);Vel. massima (km/h);Lat partenza;Lon partenza;Lat arrivo;Lon arrivo
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;03:36:00;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;04:00:33;0,3;24;0,0;;;5;43.23806;13.389943;43.238312;13.389477
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;04:00:33;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;05:58:00;0,0;;0,0;117;0;0;43.238312;13.389477;43.238336;13.389394
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;05:58:00;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:32:23;0,9;34;1,0;;;10;43.238336;13.389394;43.238245;13.389591
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;06:32:23;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:43:24;0,0;;0,0;11;0;0;43.238245;13.389591;43.23851;13.389629
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:43:24;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;07:07:59;1,0;24;1,0;;;10;43.23851;13.389629;43.238534;13.389583
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;07:07:59;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;07:09:32;0,0;;0,0;1;0;0;43.238534;13.389583;43.238429;13.389834
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;07:09:32;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;07:09:38;0,0;0;0,0;;;0;43.238429;13.389834;43.238429;13.389834
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;07:09:38;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;07:10:26;0,0;;0,0;0;0;0;43.238429;13.389834;43.238451;13.389741
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;07:10:26;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;09:19:16;3,8;128;1,0;;;11;43.238451;13.389741;43.238206;13.389468
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;09:19:16;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;09:42:10;0,0;;0,0;22;0;0;43.238206;13.389468;43.238282;13.389553
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;09:42:10;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;12:17:27;1,4;155;0,0;;;9;43.238282;13.389553;43.238357;13.389542
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;12:17:27;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;12:30:59;0,0;;0,0;13;0;0;43.238357;13.389542;43.238461;13.389597
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;12:30:59;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:00:58;0,2;29;0,0;;;5;43.238461;13.389597;43.238333;13.389513
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;13:00:58;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:17:10;0,0;;0,0;16;0;0;43.238333;13.389513;43.238297;13.389441
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:17:10;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:24:57;0,1;7;0,0;;;5;43.238297;13.389441;43.238386;13.389454
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;13:24:57;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:50:59;0,0;;0,0;26;0;0;43.238386;13.389454;43.238305;13.389436
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:50:59;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:54:44;0,1;3;0,0;;;2;43.238305;13.389436;43.238343;13.389539
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;13:54:44;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;14:39:02;0,0;;0,0;44;0;0;43.238343;13.389539;43.238425;13.389411
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;14:39:02;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;14:43:45;0,2;4;2,0;;;12;43.238425;13.389411;43.238418;13.389606
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;14:43:45;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:11:43;0,0;;0,0;27;0;0;43.238418;13.389606;43.238411;13.389296
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:11:43;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:17:58;0,9;6;1,0;;;6;43.238411;13.389296;43.240509;13.389377
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;15:17:58;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:36:26;0,0;;0,0;18;0;0;43.240509;13.389377;43.238528;13.389432
